date,close,市盈率,市盈率估值,市净率,市净率估值
2014-03-25,21732.32,8.65,低估,1.22,偏高
2014-03-26,21906.381,8.7,低估,1.23,偏高
2014-03-27,21832.551,8.72,低估,1.22,偏高
2014-03-28,22065.529,8.86,低估,1.23,偏高
2014-03-31,22151.059,8.88,低估,1.24,偏高
2014-04-01,22448.541,8.98,低估,1.25,偏高
2014-04-02,22523.94,8.97,低估,1.25,偏高
2014-04-03,22567.529,9.0,低估,1.25,偏高
2014-04-04,22510.08,8.99,低估,1.25,偏高
2014-04-07,22377.15,8.98,低估,1.25,偏高
2014-04-08,22602.779,9.07,正常,1.26,偏高
2014-04-09,22843.17,9.17,正常,1.28,偏高
2014-04-10,23186.961,9.27,正常,1.29,偏高
2014-04-11,23014.699,9.17,正常,1.28,偏高
2014-04-14,23038.801,9.18,正常,1.28,偏高
2014-04-15,22671.262,9.03,低估,1.26,偏高
2014-04-16,22696.01,9.03,低估,1.26,偏高
2014-04-17,22763.34,9.05,正常,1.26,偏高
2014-04-22,22730.68,9.04,低估,1.26,偏高
2014-04-23,22509.641,8.94,低估,1.25,偏高
2014-04-24,22562.801,8.96,低估,1.24,偏高
2014-04-25,22223.529,8.86,低估,1.22,偏高
2014-04-28,22132.529,8.82,低估,1.21,偏高
2014-04-29,22453.889,8.93,低估,1.22,偏高
2014-04-30,22133.969,8.84,低估,1.21,偏高
2014-05-02,22257.391,8.86,低估,1.21,偏高
2014-05-05,21971.99,8.76,低估,1.2,偏高
2014-05-07,21746.26,8.68,低估,1.19,偏高
2014-05-08,21837.85,8.74,低估,1.2,偏高
2014-05-09,21862.99,8.75,低估,1.2,偏高
2014-05-12,22261.57,8.89,低估,1.22,偏高
2014-05-13,22352.381,8.93,低估,1.22,偏高
2014-05-14,22582.77,9.02,低估,1.24,偏高
2014-05-15,22721.44,9.05,正常,1.24,偏高
2014-05-16,22712.91,9.05,正常,1.24,偏高
2014-05-19,22704.5,9.04,低估,1.24,偏高
2014-05-20,22834.68,9.07,正常,1.24,偏高
2014-05-21,22813.109,9.1,正常,1.25,偏高
2014-05-22,22953.76,9.17,正常,1.26,偏高
2014-05-23,22965.859,9.18,正常,1.26,偏高
2014-05-26,22961.119,9.17,正常,1.26,偏高
2014-05-27,22960.949,9.15,正常,1.25,偏高
2014-05-28,23080.031,9.2,正常,1.26,偏高
2014-05-29,23016.039,9.17,正常,1.26,偏高
2014-05-30,23049.02,9.2,正常,1.26,偏高
2014-06-03,23291.039,9.3,正常,1.27,偏高
2014-06-04,23163.34,9.25,正常,1.27,偏高
2014-06-05,23109.66,9.25,正常,1.27,偏高
2014-06-06,22951.0,9.19,正常,1.26,偏高
2014-06-09,23117.471,9.25,正常,1.27,偏高
2014-06-10,23315.74,9.34,正常,1.28,偏高
2014-06-11,23257.289,9.32,正常,1.28,偏高
2014-06-12,23175.022,9.26,正常,1.27,偏高
2014-06-13,23319.17,9.32,正常,1.28,偏高
2014-06-16,23300.67,9.32,正常,1.28,偏高
2014-06-17,23203.59,9.29,正常,1.27,偏高
2014-06-18,23195.32,9.28,正常,1.27,偏高
2014-06-19,23167.731,9.27,正常,1.27,偏高
2014-06-20,23194.061,9.28,正常,1.27,偏高
2014-06-23,22804.811,9.12,正常,1.25,偏高
2014-06-24,22880.641,9.14,正常,1.25,偏高
2014-06-25,22866.701,9.13,正常,1.25,偏高
2014-06-26,23197.83,9.28,正常,1.27,偏高
2014-06-27,23221.52,9.29,正常,1.27,偏高
2014-06-30,23190.721,9.28,正常,1.27,偏高
2014-07-02,23549.619,9.41,正常,1.29,偏高
2014-07-03,23531.44,9.38,正常,1.29,偏高
2014-07-04,23546.359,9.39,正常,1.29,偏高
2014-07-07,23540.92,9.38,正常,1.29,偏高
2014-07-08,23541.379,9.39,正常,1.29,偏高
2014-07-09,23176.07,9.25,正常,1.27,偏高
2014-07-10,23238.99,9.28,正常,1.27,偏高
2014-07-11,23233.52,9.28,正常,1.27,偏高
2014-07-14,23346.67,9.34,正常,1.28,偏高
2014-07-15,23459.961,9.4,正常,1.29,偏高
2014-07-16,23523.279,9.41,正常,1.29,偏高
2014-07-17,23520.871,9.41,正常,1.29,偏高
2014-07-18,23454.791,9.38,正常,1.29,偏高
2014-07-21,23387.139,9.36,正常,1.28,偏高
2014-07-22,23782.111,9.53,正常,1.31,高估
2014-07-23,23971.871,9.64,正常,1.32,高估
2014-07-24,24141.5,9.49,正常,1.33,高估
2014-07-25,24217.42,9.52,正常,1.33,高估
2014-07-28,24428.631,9.6,正常,1.34,高估
2014-07-29,24640.529,9.66,正常,1.35,高估
2014-07-30,24732.209,9.7,偏高,1.35,高估
2014-07-31,24756.85,9.58,正常,1.35,高估
2014-08-01,24542.02,9.48,正常,1.33,高估
2014-08-04,24600.08,9.58,正常,1.33,高估
2014-08-05,24648.26,9.57,正常,1.33,高估
2014-08-06,24584.129,9.54,正常,1.33,高估
2014-08-07,24387.561,9.47,正常,1.32,高估
2014-08-08,24331.41,9.46,正常,1.32,高估
2014-08-11,24648.711,9.62,正常,1.33,高估
2014-08-12,24689.41,9.65,正常,1.34,高估
2014-08-13,24890.34,9.72,偏高,1.35,高估
2014-08-14,24801.359,9.69,偏高,1.34,高估
2014-08-15,24975.33,9.76,偏高,1.35,高估
2014-08-18,24944.44,9.77,偏高,1.35,高估
2014-08-19,25137.131,9.79,偏高,1.36,高估
2014-08-20,25159.76,9.78,偏高,1.36,高估
2014-08-21,24994.1,9.72,偏高,1.35,高估
2014-08-22,25112.231,9.76,偏高,1.36,高估
2014-08-25,25164.07,9.93,偏高,1.38,高估
2014-08-26,25075.57,9.92,偏高,1.38,高估
2014-08-27,24918.75,9.84,偏高,1.37,高估
2014-08-28,24741.0,9.71,偏高,1.35,高估
2014-08-29,24742.061,9.71,偏高,1.35,高估
2014-09-01,24752.09,9.71,偏高,1.35,高估
2014-09-02,24741.75,9.71,偏高,1.35,高估
2014-09-03,25317.951,9.96,偏高,1.39,高估
2014-09-04,25297.92,9.98,偏高,1.39,高估
2014-09-05,25240.15,9.95,偏高,1.39,高估
2014-09-08,25190.449,9.95,偏高,1.39,高估
2014-09-10,24705.359,9.73,偏高,1.36,高估
2014-09-11,24662.641,9.68,偏高,1.35,高估
2014-09-12,24595.32,9.66,正常,1.34,高估
2014-09-15,24356.02,9.55,正常,1.33,高估
2014-09-16,24136.01,9.45,正常,1.32,高估
2014-09-17,24372.83,9.57,正常,1.33,高估
2014-09-18,24175.801,9.48,正常,1.32,高估
2014-09-19,24306.16,9.51,正常,1.32,高估
2014-09-22,23955.49,9.37,正常,1.3,偏高
2014-09-23,23837.07,9.32,正常,1.3,偏高
2014-09-24,23921.609,9.38,正常,1.3,偏高
2014-09-25,23768.129,9.32,正常,1.3,偏高
2014-09-26,23678.41,9.27,正常,1.29,偏高
2014-09-29,23229.209,9.11,正常,1.27,偏高
2014-09-30,22928.141,8.97,低估,1.25,偏高
2014-10-03,23064.561,9.03,低估,1.26,偏高
2014-10-06,23315.039,9.11,正常,1.27,偏高
2014-10-07,23422.52,9.16,正常,1.27,偏高
2014-10-08,23263.33,9.09,正常,1.26,偏高
2014-10-09,23534.529,9.19,正常,1.28,偏高
2014-10-10,23088.541,9.02,低估,1.25,偏高
2014-10-13,23143.379,9.03,低估,1.26,偏高
2014-10-14,23053.49,8.99,低估,1.25,偏高
2014-10-15,23140.049,9.01,低估,1.25,偏高
2014-10-16,22900.941,8.92,低估,1.24,偏高
2014-10-17,23021.26,8.98,低估,1.25,偏高
2014-10-20,23070.26,9.0,低估,1.25,偏高
2014-10-21,23088.58,8.99,低估,1.25,偏高
2014-10-22,23403.969,9.12,正常,1.27,偏高
2014-10-23,23333.182,9.08,正常,1.26,偏高
2014-10-24,23302.199,9.06,正常,1.26,偏高
2014-10-27,23148.811,8.99,低估,1.25,偏高
2014-10-28,23520.359,9.12,正常,1.26,偏高
