date,close,市盈率,市盈率估值,市净率,市净率估值
2020-12-02,951.01,25.84,高估,2.07,高估
2020-12-03,952.94,25.87,高估,2.07,高估
2020-12-04,936.91,25.48,高估,2.04,高估
2020-12-07,920.34,25.02,高估,2.0,高估
2020-12-08,921.47,24.99,高估,2.0,高估
2020-12-09,890.42,24.18,偏高,1.94,高估
2020-12-10,888.14,24.21,偏高,1.94,高估
2020-12-11,876.39,23.96,偏高,1.92,高估
2020-12-14,875.02,24.99,高估,1.99,高估
2020-12-15,876.85,25.01,高估,1.99,高估
2020-12-16,867.65,24.7,偏高,1.97,高估
2020-12-17,891.45,25.43,高估,2.03,高估
2020-12-18,881.71,25.13,高估,2.0,高估
2020-12-21,889.21,25.34,高估,2.02,高估
2020-12-22,851.21,24.25,偏高,1.93,高估
2020-12-23,858.57,24.48,偏高,1.95,高估
2020-12-24,851.03,24.24,偏高,1.93,高估
2020-12-25,860.35,24.53,偏高,1.95,高估
2020-12-28,857.15,24.35,偏高,1.94,高估
2020-12-29,861.12,24.48,偏高,1.95,高估
2020-12-30,878.82,25.01,高估,1.98,高估
2020-12-31,918.45,26.14,高估,2.07,高估
2021-01-04,924.75,26.25,高估,2.08,高估
2021-01-05,924.21,26.19,高估,2.07,高估
2021-01-06,923.84,26.21,高估,2.07,高估
2021-01-07,933.55,26.43,高估,2.09,高估
2021-01-08,925.88,26.19,高估,2.07,高估
2021-01-11,903.26,25.53,高估,2.02,高估
2021-01-12,965.95,27.13,高估,2.15,高估
2021-01-13,944.14,26.43,高估,2.09,高估
2021-01-14,917.66,25.74,高估,2.04,高估
2021-01-15,916.19,25.71,高估,2.03,高估
2021-01-18,925.34,25.91,高估,2.05,高估
2021-01-19,924.43,25.99,高估,2.05,高估
2021-01-20,926.15,25.97,高估,2.05,高估
2021-01-21,940.48,26.29,高估,2.07,高估
2021-01-22,920.57,25.66,高估,2.02,高估
2021-01-25,915.43,25.39,高估,2.0,高估
2021-01-26,880.4,24.51,偏高,1.94,高估
2021-01-27,881.64,24.42,偏高,1.93,高估
2021-01-28,877.13,24.41,偏高,1.93,高估
2021-01-29,869.71,24.21,偏高,1.91,高估
2021-02-01,863.74,23.91,偏高,1.9,高估
2021-02-02,865.63,23.91,偏高,1.9,高估
2021-02-03,854.84,23.59,偏高,1.86,高估
2021-02-04,834.7,22.95,偏高,1.81,高估
2021-02-05,827.63,22.67,偏高,1.79,偏高
2021-02-08,828.4,22.83,偏高,1.78,偏高
2021-02-09,853.6,23.47,偏高,1.83,高估
2021-02-10,852.98,23.44,偏高,1.83,高估
2021-02-18,856.36,23.57,偏高,1.84,高估
2021-02-19,873.29,24.1,偏高,1.88,高估
2021-02-22,848.88,23.5,偏高,1.84,高估
2021-02-23,843.75,23.35,偏高,1.82,高估
2021-02-24,839.65,23.25,偏高,1.82,高估
2021-02-25,839.83,23.27,偏高,1.82,高估
2021-02-26,825.6,22.91,偏高,1.79,偏高
2021-03-01,819.89,22.62,偏高,1.78,偏高
2021-03-02,810.8,22.43,偏高,1.76,偏高
2021-03-03,824.91,22.79,偏高,1.79,偏高
2021-03-04,806.51,22.33,偏高,1.76,偏高
2021-03-05,823.68,22.83,偏高,1.8,偏高
2021-03-08,807.34,22.43,偏高,1.75,偏高
2021-03-09,786.48,21.81,偏高,1.7,偏高
2021-03-10,782.21,21.63,偏高,1.68,偏高
2021-03-11,794.68,21.88,偏高,1.7,偏高
2021-03-12,794.87,21.88,偏高,1.7,偏高
2021-03-15,778.19,21.41,正常,1.67,偏高
2021-03-16,779.85,21.49,偏高,1.67,偏高
2021-03-17,782.65,21.56,偏高,1.68,偏高
2021-03-18,783.44,21.55,偏高,1.68,偏高
2021-03-19,776.28,21.36,正常,1.66,偏高
2021-03-22,789.86,21.73,偏高,1.69,偏高
2021-03-23,794.62,21.91,偏高,1.71,偏高
2021-03-24,798.7,22.16,偏高,1.72,偏高
2021-03-25,791.67,21.94,偏高,1.7,偏高
2021-03-26,795.5,21.89,偏高,1.7,偏高
2021-03-29,794.17,21.86,偏高,1.71,偏高
2021-03-30,792.85,21.81,偏高,1.72,偏高
2021-03-31,780.13,21.36,正常,1.69,偏高
2021-04-01,787.12,21.52,偏高,1.71,偏高
2021-04-02,788.25,21.56,偏高,1.71,偏高
2021-04-06,787.4,21.43,正常,1.72,偏高
2021-04-07,785.65,21.39,正常,1.71,偏高
2021-04-08,788.74,21.47,偏高,1.72,偏高
2021-04-09,780.43,21.21,正常,1.7,偏高
